case_id,table,operation,trigger,attr_type,before,after,note,sql
CASE-A01,products,INSERT,商品登録,product_name,NULL,Widget-A,初回登録,INSERT INTO products ...
CASE-A01,,,,price,NULL,300,初期価格,
CASE-A01,,,,stock,NULL,50,初期在庫,
CASE-A02,shipments,UPDATE,出荷処理,shipment_status,READY,SHIPPED,出荷完了,UPDATE shipments SET ...
CASE-A02,,,,shipped_at,NULL,2026-02-03,出荷日時,
CASE-A03,subscriptions,UPDATE,契約更新,plan_code,BASIC,PRO,上位プランへ,UPDATE subscriptions SET ...
CASE-A03,,,,renewed_at,NULL,2026-02-04,更新日,
CASE-A03,,,,next_billing,NULL,2026-03-04,次回課金,
CASE-A04,products,DELETE,商品廃止,deleted_flag,0,1,廃止,DELETE FROM products WHERE ...
CASE-A05,shipments,UPDATE,配送遅延,delay_reason,NULL,WEATHER,天候,UPDATE shipments SET ...
